,Logistic Regression,SVM (RBF),SVM (Linear),KNN,Random Forest,Naive Bayes,Trung bình (tất cả model)
HOG (hình dạng/cạnh),0.49435370817142604,0.5696704980343146,0.48858677391211125,0.532445403999331,0.4951366774656483,0.4398914566478808,0.5033474197051186
Color Histogram (HSV),0.08506524899644469,0.026745486681315267,0.06878512636718803,0.008586406037744382,0.050933558358619,0.0304353427085145,0.04509186152497097
LBP (texture),0.010919828987852945,0.002214167213006102,0.002214167213006102,-0.005204031098316339,0.0006267365425375038,-0.008947974998595301,0.000303815643248502
Center vs Border,0.0,0.001107083606503051,0.0,0.0,0.0,0.0,0.00018451393441717515
GLCM (texture thống kê),0.0,0.001107083606503051,0.0,-0.001565651896970749,0.0019530204963287556,-0.0016158934308166395,-2.024020415926364e-05
Disk Color Ratio,0.0,0.001107083606503051,0.0,-0.0015939863676514843,0.0,0.0,-8.115046019140555e-05
Petal Edge Density,0.0,0.0,0.0,-0.0023909795514772264,0.0,0.0,-0.00039849659191287107
Brightness Stats,0.0,0.002214167213006102,0.0,-0.005578952286780195,0.0,0.0,-0.0005607975122956821
Saturation Stats,0.0,0.0,0.0,-0.0015939863676514843,0.0,-0.0024238401462249592,-0.0006696377523127406
